contestacao_id,probabilidade_modelo
CON00007,0.3137695257974983
CON00020,0.22005565129551644
CON00039,0.20171255432428048
CON00055,0.14271891989557672
CON00062,0.19964604259890467
CON00069,0.043794333615386906
CON00097,0.050334369600073724
CON00181,0.2884989928741861
CON00255,0.05644050015557179
CON00276,0.35862069481580805
CON00341,0.11335623237391605
CON00356,0.19997442281108166
CON00384,0.12782154771940007
CON00400,0.21949829435160764
CON00410,0.05422438206526742
CON00483,0.2852545249855347
CON00499,0.11032032499665731
CON00571,0.04625785824719571
CON00653,0.19759481060719733
CON00671,0.04968903997990464
CON00028,0.130881157110017
CON00074,0.02959692091669709
CON00105,0.1905826662267333
CON00145,0.06457898044766064
CON00153,0.03794745663953409
CON00186,0.13499055877463764
CON00233,0.07314118281494926
CON00242,0.15265666460659308
CON00278,0.5292880609760318
CON00280,0.3329667698269563
CON00286,0.28627160103698207
CON00363,0.06119572818947519
CON00378,0.06551530877210969
CON00386,0.05982164254481089
CON00405,0.22688810126099904
CON00450,0.14960948610968153
CON00468,0.046123826152817134
CON00556,0.33147560055784636
CON00559,0.3846657977005696
CON00596,0.08281223006969107
CON00627,0.1966080278922154
CON00018,0.0879607800950037
CON00056,0.08250702150997445
CON00101,0.09301451144833198
CON00110,0.04700388357182207
CON00144,0.17104027265492924
CON00180,0.13054392913688928
CON00189,0.10407502288635595
CON00196,0.05923166458651094
CON00202,0.32601470346821537
CON00224,0.17143341975000054
CON00247,0.2808497560133066
CON00273,0.17287293310776625
CON00308,0.2716345619618838
CON00382,0.21928033183835127
CON00404,0.036240335623095817
CON00498,0.14921751932075364
CON00546,0.06941946713005842
CON00553,0.21730032796515047
CON00607,0.1297609414947724
CON00624,0.04580739130030909
CON00631,0.09170860200593
CON00006,0.03872439293857817
CON00010,0.13345742386025425
CON00057,0.05048180419005716
CON00073,0.15889408190820212
CON00085,0.09957169025976437
CON00089,0.13314292498857522
CON00111,0.21458493069424858
CON00119,0.2285293173904716
CON00132,0.18990529606085862
CON00228,0.09357459830600368
CON00287,0.14506563736226394
CON00306,0.05233295805482078
CON00307,0.16083335433588578
CON00380,0.2928991973519348
CON00453,0.05393366181597124
CON00474,0.06696637263008788
CON00508,0.039111610606268624
CON00514,0.10483618773228134
CON00515,0.0957844968194198
CON00538,0.07307943791536876
CON00540,0.06783214121617737
CON00557,0.07947047581014763
CON00575,0.06927746377255235
CON00602,0.04799534145456126
CON00613,0.05027990792653177
CON00661,0.03254196086078778
CON00005,0.09318346752841039
CON00075,0.3064154134362472
CON00082,0.09131596424871742
CON00095,0.28432810663069996
CON00121,0.08309652663186133
CON00127,0.04805221342917931
CON00133,0.07852137472570789
CON00188,0.6270483684675487
CON00249,0.06423232927298614
CON00258,0.24442387431033435
CON00268,0.10523416421407661
CON00319,0.09725142207087402
CON00527,0.11904532797665501
CON00597,0.07133929132657338
CON00634,0.1168494353197296
CON00639,0.09178431023184082
CON00646,0.03284525782465983
CON00087,0.34086534827262266
CON00093,0.24361883940657814
CON00099,0.09350100296213548
CON00100,0.10018176123018777
CON00141,0.31327822011292084
CON00148,0.4077286684619643
CON00160,0.028368381696132285
CON00211,0.05085159502499231
CON00237,0.10817078408906555
CON00253,0.16352600794371772
CON00324,0.5031950349831738
CON00371,0.057035435253100876
CON00398,0.030759608873074166
CON00403,0.062471389603145334
CON00416,0.17059407433656315
CON00480,0.033204954159693455
CON00591,0.11401736340500881
CON00619,0.07877175881869465
CON00678,0.14224061252279777
CON00690,0.04556167482546882
CON00034,0.09968247145135446
CON00037,0.626794239493894
CON00064,0.17903383350304772
CON00084,0.0632336582805445
CON00113,0.03227936286702685
CON00116,0.12313496526897251
CON00118,0.1055321035342314
CON00156,0.045396878527388614
CON00170,0.3514797130308795
CON00187,0.15095502769850788
CON00208,0.06423158517232848
CON00229,0.0734930183192422
CON00266,0.06748831938900696
CON00290,0.05881427950929939
CON00311,0.08332506345909828
CON00326,0.07690830749424649
CON00381,0.04114931474589353
CON00396,0.18914462524899192
CON00439,0.07090870179820596
CON00470,0.24922228773061378
CON00511,0.04682657124237413
CON00517,0.09790704020922697
CON00565,0.6407503403385252
CON00641,0.15100063573685485
CON00649,0.12549449622383077
CON00135,0.06676312585241362
CON00222,0.04881736864662286
CON00313,0.10583318547479648
CON00486,0.13490623874700736
CON00492,0.0880415493115543
CON00509,0.21668517485897348
CON00561,0.052583067093791944
CON00563,0.06885675921271331
CON00581,0.07869481078433972
CON00586,0.27330038384991623
CON00588,0.06740464286050878
CON00600,0.043472935295123354
CON00630,0.1059882541221097
CON00644,0.04864386821283045
CON00652,0.033887344028410225
CON00654,0.33417572896126296
CON00674,0.12538156634497782
CON00059,0.20655022288881392
CON00102,0.04794471457437921
CON00109,0.12527931857522326
CON00136,0.261553297091596
CON00146,0.09317373159092972
CON00149,0.059394980992593445
CON00154,0.04974192219184458
CON00159,0.07912738165374449
CON00369,0.1070474132056976
CON00374,0.13855692030209685
CON00376,0.09307472862456746
CON00413,0.06556284710089026
CON00554,0.16494648602350298
CON00574,0.07479101302571738
CON00017,0.11360927146631372
CON00143,0.18981997700250003
CON00166,0.11137832487955197
CON00171,0.31642342591941525
CON00174,0.07699400508783126
CON00176,0.08493041923550221
CON00179,0.060798579203321705
CON00227,0.10340103302218157
CON00298,0.10263805643563488
CON00342,0.09292890009588543
CON00348,0.16742250027296254
CON00351,0.2319024267400143
CON00368,0.08976600113685063
CON00377,0.1855720450229761
CON00496,0.12289139362344036
CON00547,0.12660697886401442
CON00636,0.044540940915192985
CON00664,0.22106467027541615
CON00683,0.12919147704528
CON00688,0.040419551491933096
CON00032,0.07331767971135027
CON00077,0.06484261412752536
CON00079,0.1299504154558855
CON00107,0.28143456540425066
CON00151,0.05829952960506075
CON00161,0.033334316574224095
CON00198,0.14490872899659946
CON00230,0.03278385119581564
CON00279,0.15292784673929058
CON00291,0.04936406721915448
CON00302,0.03756296318514322
CON00316,0.057761749006485466
CON00327,0.24832136341193622
CON00387,0.02840357198241997
CON00452,0.051847929527369246
CON00455,0.03301451465423625
CON00475,0.0876266998662524
CON00481,0.3948840968048417
CON00549,0.2203692345033101
CON00552,0.28062676383801355
CON00643,0.45693720279438144
CON00650,0.2462430157740551
CON00026,0.5973710013130851
CON00050,0.15514094207327173
CON00054,0.10698534839657028
CON00061,0.08721155918544864
CON00067,0.08369110571000767
CON00083,0.10381687788905024
CON00108,0.18168090730466868
CON00223,0.4681807810765339
CON00238,0.3450884597250266
CON00314,0.5086975946108035
CON00336,0.04577287868016559
CON00399,0.19742137240162033
CON00429,0.06940620575288456
CON00430,0.13936737546524064
CON00451,0.5067839296786955
CON00459,0.053792582484737936
CON00490,0.27160854409392204
CON00495,0.40985988427858644
CON00497,0.15719503060882117
CON00502,0.4365422161120256
CON00512,0.10822435060911811
CON00518,0.10488855878943805
CON00521,0.23430671126786679
CON00537,0.033228561870684854
CON00570,0.11389701509061748
CON00606,0.1021597771046732
CON00623,0.09395716064708312
CON00656,0.06931271769889508
CON00027,0.13116991747455337
CON00221,0.0793347100206036
CON00265,0.03456842184049966
CON00281,0.10122095556586537
CON00320,0.5626045967199733
CON00330,0.12420659951727393
CON00352,0.15085739903973197
CON00417,0.0775730196700114
CON00465,0.0364057361310156
CON00473,0.16641151603726215
CON00494,0.10416191622027435
CON00569,0.06626400523505807
CON00579,0.07497478420436487
CON00594,0.05103853266633291
CON00604,0.10210877087635684
CON00655,0.2967371188623509
CON00658,0.0379701731898713
CON00672,0.5905605496331223
CON00013,0.04825217490141214
CON00014,0.06894464059710267
CON00025,0.0979470341132524
CON00035,0.11474058194168013
CON00042,0.0813730407907345
CON00096,0.35941792849465604
CON00098,0.053200790679827206
CON00122,0.09615399522752006
CON00126,0.12297467696729657
CON00158,0.09721397088097854
CON00194,0.039900423139754164
CON00246,0.05958051896615605
CON00288,0.13387112182314076
CON00339,0.2013291289558713
CON00354,0.053849534930008706
